date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:18:02	94/94	---MCZ	200	added ('OK')	text/plain	date:Fri,%2022%20Mar%202024%2018:49:56%20GMT	https://lagged.com/robots.txt		(from )
16:18:03	5110/5110	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Dec%202019%2021:23:20%20GMT	https://lagged.com/api/play2/happy-glass6/	C:/Users/gvrel/Downloads/0413/happyfilledglass/lagged.com/api/play2/happy-glass6/index.html	(from )
16:18:03	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20May%202025%2020:18:01%20GMT	http://imasdk.googleapis.com/js/sdkloader/ima3.js	C:/Users/gvrel/Downloads/0413/happyfilledglass/imasdk.googleapis.com/js/sdkloader/ima3.0.delayed	(from https://lagged.com/api/play2/happy-glass6/)
16:18:03	754/754	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2025%20Jan%202023%2020:22:57%20GMT	https://lagged.com/game-data/lag_gd.js	C:/Users/gvrel/Downloads/0413/happyfilledglass/lagged.com/game-data/lag_gd.js	(from https://lagged.com/api/play2/happy-glass6/)
16:18:03	486259/486259	---M--	200	added ('OK')	text/javascript	etag:8668724789892723852	https://imasdk.googleapis.com/js/sdkloader/ima3.js	C:/Users/gvrel/Downloads/0413/happyfilledglass/imasdk.googleapis.com/js/sdkloader/f.txt	(from https://lagged.com/api/play2/happy-glass6/)
16:18:03	551/551	---MCZ	200	added ('OK')	application/json	date:Thu,%2003%20Jan%202019%2002:45:55%20GMT	https://lagged.com/api/play2/happy-glass6/appmanifest.json	C:/Users/gvrel/Downloads/0413/happyfilledglass/lagged.com/api/play2/happy-glass6/appmanifest.json	(from https://lagged.com/api/play2/happy-glass6/)
16:18:03	26565/26565	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Jan%202019%2002:45:51%20GMT	https://lagged.com/api/play2/happy-glass6/icon-256.png	C:/Users/gvrel/Downloads/0413/happyfilledglass/lagged.com/api/play2/happy-glass6/icon-256.png	(from https://lagged.com/api/play2/happy-glass6/)
16:18:04	84248/84248	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2003%20Jan%202019%2002:45:50%20GMT	https://lagged.com/api/play2/happy-glass6/jquery-2.1.1.min.js	C:/Users/gvrel/Downloads/0413/happyfilledglass/lagged.com/api/play2/happy-glass6/jquery-2.1.1.min.js	(from https://lagged.com/api/play2/happy-glass6/)
16:18:04	1576364/1576364	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2006%20Dec%202019%2021:22:51%20GMT	https://lagged.com/api/play2/happy-glass6/c2runtime.js?v=1	C:/Users/gvrel/Downloads/0413/happyfilledglass/lagged.com/api/play2/happy-glass6/c2runtime3860.js	(from https://lagged.com/api/play2/happy-glass6/)
16:18:05	13446/13446	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2003%20Jan%202019%2002:45:55%20GMT	https://lagged.com/api/play2/happy-glass6/sw.js	C:/Users/gvrel/Downloads/0413/happyfilledglass/lagged.com/api/play2/happy-glass6/sw.js	(from https://lagged.com/api/play2/happy-glass6/)
