date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:32:00	823/823	---M--	200	added ('OK')	text/html	etag:%22-CMO9qqSY++UCEAE=%22	https://html-classic.itch.zone/html/1514220/index.html?v=1574335371	C:/Users/gvrel/Downloads/0413/orbcollector/html-classic.itch.zone/html/1514220/indexaf55.html	(from )
19:32:01	298/298	---M--	403	error ('Forbidden')	application/xml	date:Tue,%2027%20May%202025%2023:32:00%20GMT	https://html-classic.itch.zone/robots.txt		(from )
19:32:01	13275/13275	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2257b5a31d2566cf227c47819eb3e5acfa%22	https://html-classic.itch.zone/html/1514220/TemplateData/favicon.ico	C:/Users/gvrel/Downloads/0413/orbcollector/html-classic.itch.zone/html/1514220/TemplateData/favicon.ico	(from https://html-classic.itch.zone/html/1514220/index.html?v=1574335371)
19:32:01	1668/1668	---M-Z	200	added ('OK')	text/css	etag:%22f174b271049153b3e9c4e483098e25d4%22	https://html-classic.itch.zone/html/1514220/TemplateData/style.css	C:/Users/gvrel/Downloads/0413/orbcollector/html-classic.itch.zone/html/1514220/TemplateData/style.css	(from https://html-classic.itch.zone/html/1514220/index.html?v=1574335371)
19:32:01	1186/1186	---M-Z	200	added ('OK')	application/javascript	etag:%2227b8ef08b13860d85eb7ac40ce470660%22	https://html-classic.itch.zone/html/1514220/TemplateData/UnityProgress.js	C:/Users/gvrel/Downloads/0413/orbcollector/html-classic.itch.zone/html/1514220/TemplateData/UnityProgress.js	(from https://html-classic.itch.zone/html/1514220/index.html?v=1574335371)
19:32:02	157128/157128	---MCZ	200	added ('OK')	application/javascript	etag:%223544178c924aac8c5129f2d974d60dd7%22	https://html-classic.itch.zone/html/1514220/Build/UnityLoader.js	C:/Users/gvrel/Downloads/0413/orbcollector/html-classic.itch.zone/html/1514220/Build/UnityLoader.js	(from https://html-classic.itch.zone/html/1514220/index.html?v=1574335371)
19:32:02	635/635	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2267b44e4d-27b%22	https://static.itch.io/htmlgame.js	C:/Users/gvrel/Downloads/0413/orbcollector/static.itch.io/htmlgame.js	(from https://html-classic.itch.zone/html/1514220/index.html?v=1574335371)
19:32:02	2259/2259	---M--	200	added ('OK')	image/png	etag:%22e608e32fb2102e953b6cae6f97f38286%22	https://html-classic.itch.zone/html/1514220/TemplateData/progressLogo.Light.png	C:/Users/gvrel/Downloads/0413/orbcollector/html-classic.itch.zone/html/1514220/TemplateData/progressLogo.Light.png	(from https://html-classic.itch.zone/html/1514220/TemplateData/style.css)
19:32:03	159/159	---M--	200	added ('OK')	image/png	etag:%2228df3e3bc879a2cffaaf78e371980f33%22	https://html-classic.itch.zone/html/1514220/TemplateData/progressEmpty.Light.png	C:/Users/gvrel/Downloads/0413/orbcollector/html-classic.itch.zone/html/1514220/TemplateData/progressEmpty.Light.png	(from https://html-classic.itch.zone/html/1514220/TemplateData/style.css)
19:32:03	142/142	---M--	200	added ('OK')	image/png	etag:%22d030ba7511bc275365f856d2af200e58%22	https://html-classic.itch.zone/html/1514220/TemplateData/progressFull.Light.png	C:/Users/gvrel/Downloads/0413/orbcollector/html-classic.itch.zone/html/1514220/TemplateData/progressFull.Light.png	(from https://html-classic.itch.zone/html/1514220/TemplateData/style.css)
19:32:03	2343/2343	---M--	200	added ('OK')	image/png	etag:%22cc0d7c1db16b413eb67aed0f10c3e99d%22	https://html-classic.itch.zone/html/1514220/TemplateData/progressLogo.Dark.png	C:/Users/gvrel/Downloads/0413/orbcollector/html-classic.itch.zone/html/1514220/TemplateData/progressLogo.Dark.png	(from https://html-classic.itch.zone/html/1514220/TemplateData/style.css)
19:32:03	155/155	---M--	200	added ('OK')	image/png	etag:%2259cf8c9349b0be3828ea6ab0b7b7d126%22	https://html-classic.itch.zone/html/1514220/TemplateData/progressEmpty.Dark.png	C:/Users/gvrel/Downloads/0413/orbcollector/html-classic.itch.zone/html/1514220/TemplateData/progressEmpty.Dark.png	(from https://html-classic.itch.zone/html/1514220/TemplateData/style.css)
19:32:03	137/137	---M--	200	added ('OK')	image/png	etag:%22c74f81d50322b06afa5f20a1447a17ba%22	https://html-classic.itch.zone/html/1514220/TemplateData/progressFull.Dark.png	C:/Users/gvrel/Downloads/0413/orbcollector/html-classic.itch.zone/html/1514220/TemplateData/progressFull.Dark.png	(from https://html-classic.itch.zone/html/1514220/TemplateData/style.css)
19:32:04	3587/3587	---M--	200	added ('OK')	image/png	etag:%228c9889fd3f9272b942d4868a9c1b094c%22	https://html-classic.itch.zone/html/1514220/TemplateData/webgl-logo.png	C:/Users/gvrel/Downloads/0413/orbcollector/html-classic.itch.zone/html/1514220/TemplateData/webgl-logo.png	(from https://html-classic.itch.zone/html/1514220/TemplateData/style.css)
19:32:04	345/345	---M--	200	added ('OK')	image/png	etag:%22f698ed7e8838ae7fef68b1423b6a3bc8%22	https://html-classic.itch.zone/html/1514220/TemplateData/fullscreen.png	C:/Users/gvrel/Downloads/0413/orbcollector/html-classic.itch.zone/html/1514220/TemplateData/fullscreen.png	(from https://html-classic.itch.zone/html/1514220/TemplateData/style.css)
